"Appendix S1. Occurrence data for the four sarcophagid species used in this study (L. crispina, L. crispula, O. amorosa and O. xanthosoma). Empty cells are missing data (i.e. were absent in specimens labels or method description).",,,,,,,,,,,,,,,,
Country,State_or_Province,Municipality,Locality,Latitude,Longitude,Species_name,metodo_coleta,Determiner,Collector,Reference,Data,Remarks,Original genus,Original species,Modified name?,Source of data
Argentina,Missiones,Puerto Esperanza,,-26,-54,Lipoptilocnema crispina,,,,"MULIERI, Pablo Ricardo; MELLO-PATIU, Catia Antunes de; ABALLAY, Fernando H. Taxonomic revision of Lipoptilocnema (Diptera: Sarcophagidae), with notes on natural history and forensic importance of its species. Journal of medical entomology, v. 54, n. 1, p. 50-75, 2017.",xii.1976,,Lipoptilocnema,crispina,no,Literature
Brasil,SP,São Paulo,,-23.65008,-46.64811,Lipoptilocnema crispina,,,,"LOPES, H. de S. Sarcophagid flies Diptera from Pacatuba, State of Ceará, Brazil. Revista Brasileira de Biologia, 1974.",,,Sarcophaga,crispina,yes,Literature
Brasil,RJ,Angra dos Reis,,-22.98678,-44.35299,Lipoptilocnema crispina,,,,,6.vi.1971, on human feces,Lipoptilocnema,crispina,no,MZUSP
Brasil,RJ,Paracambi,Floresta,-22.6219,-43.72558,Lipoptilocnema crispina,,H.S. Lopes,H.S. Lopes,,04.x.2001,peixe,Lipoptilocnema,crispina,no,MNRJ
Brasil,ES,Baixo Guandu,,-19.56988,-40.98284,Lipoptilocnema crispina,,H.S. Lopes,H.S. Lopes,,ix.1970,,Lipoptilocnema,crispina,no,MZUSP
Brasil,MG,Alvarenga,Pico da Aliança,-19.394979,-41.669324,Lipoptilocnema crispina,,,,"BARBOSA, Rodrigo Rocha et al. New records of calyptrate dipterans (Fanniidae, Muscidae and Sarcophagidae) associated with the decomposition of domestic pigs in Brazil. Memórias do Instituto Oswaldo Cruz, v. 104, n. 6, p. 923-926, 2009.",09.v.2021,1400m,Lipoptilocnema,crispina,no,INMA
Brasil,ES,Linhares,,-19.38213,-40.02875,Lipoptilocnema crispina,,"verificado por Gomes, M.M.",,,vi.1972,,Lipoptilocnema,crispina,no,Literature
Brasil,MT,Chapada dos Guimarães,"Parque Nacional Chapada dos Guimarães, Vale da Benção",-15.43631,-55.43969,Lipoptilocnema crispina,,"verificado por Gomes, M.M.",M.M. Gomes & C.A. Mello-Patiu,,18.i.2012,,Lipoptilocnema,crispina,no,MNRJ
Brasil,MT,Chapada dos Guimarães,,-15.12326,-55.54634,Lipoptilocnema crispina,,"verificado por Gomes, M.M.",M.M. Gomes & C.A. Mello-Patiu,,12.vii.2012,,Lipoptilocnema,crispina,no,Literature
Brasil,CE,Pacatuba,,-3.95253,-38.59584,Lipoptilocnema crispina,,"verificado por Gomes, M.M.",M.M. Gomes & C.A. Mello-Patiu,,22.vii-24.vii.1973,,Lipoptilocnema,crispina,no,Literature
Brasil,PR,Curitiba,,-25.47789,-49.28826,Lipoptilocnema crispula,,"verificado por Gomes, M.M.",M.M. Gomes & C.A. Mello-Patiu,,10.iii.1972,,Lipoptilocnema,crispula,no,Literature
Brasil,RJ,Angra dos Reis,,-22.98678,-44.35299,Lipoptilocnema crispula,,"verificado por Gomes, M.M.",M.M. Gomes & C.A. Mello-Patiu,,12.xi.1972," near a secondary forest, using human feces and rotten coccus comosa as bait",Lipoptilocnema,crispula,no,MZUSP
Brasil,RJ,Rio de Janeiro,Grajaú,-22.92322,-43.45093,Lipoptilocnema crispula,,"verificado por Gomes, M.M.",Nihei et al.,,2.xi.1972,Paratype,Lipoptilocnema,crispula,no,MZUSP
Brasil,RJ,Paracambi,Floresta,-22.6219,-43.72558,Lipoptilocnema crispula,,"verificado por Gomes, M.M.",Nihei et al.,,04.x.2001,peixe,Lipoptilocnema,crispula,no,MNRJ
Brasil,RJ,Petrópolis,Taquara,-22.39855,-43.15731,Lipoptilocnema crispula,,,,"DE SOUZA, Carina Mara; PAPE, Thomas; THYSSEN, Patricia Jacqueline. Oxysarcodexia Townsend, 1917 (Diptera: Sarcophagidae)—a centennial conspectus. Zootaxa, v. 4841, n. 1, p. 1-126, 2020.",27.vi.1971,in human feces,Lipoptilocnema,crispula,no,MZUSP
Brasil,MS,Dourados,,-22.14518,-54.838,Lipoptilocnema crispula,,"verificado por Gomes, M.M.","Souza-Dias, Monné e equipe",,iii.1974,,Lipoptilocnema,crispula,no,Literature
Brasil,MS,Campo Grande,Reserva Biológica UFMS,-20.91317,-54.24969,Lipoptilocnema crispula,,,,"Barbosa, L.S.; Cunha, A.M.; Couri, M.S.; Maia, V.C. Muscidae, Sarcophagidae, Calliphoridae e Mesembrinellidae (Diptera) da Estação Biológica de Santa Lúcia (Santa Teresa, Espírito Santo, Brasil) Bol. Mus. Biol. Mello Leitão 33:131-140, 2014",22.xi.2013,,Lipoptilocnema,crispula,no,MNRJ
Brasil,MS,Bodoquena,Fazenda Califórnia,-20.55336,-56.69249,Lipoptilocnema crispula,,H.S. Lopes,P.C. Elias,,6.x.2011,,Lipoptilocnema,crispula,no,Literature
Brasil,MG,Belo Horizonte,,-19.90274,-43.95988,Lipoptilocnema crispula,,H.S. Lopes,P.C. Elias,,1940,73,Lipoptilocnema,crispula,no,MZUSP
Brasil,ES,Baixo Guandu,,-19.56988,-40.98284,Lipoptilocnema crispula,,H.S. Lopes,P.C. Elias,,ix.1970,,Lipoptilocnema,crispula,no,MZUSP
Brasil,ES,Colatina,Itapina,-19.48626,-40.65559,Lipoptilocnema crispula,,C. C. Souza,C. Elias,,xi.1970,,Lipoptilocnema,crispula,no,MZUSP
Brasil,MG,Uberlândia,,-18.98319,-48.29723,Lipoptilocnema crispula,,,,"ROSA, Thiago Augusto et al. Arthropods associated with pig carrion in two vegetation profiles of Cerrado in the State of Minas Gerais, Brazil. Revista Brasileira de Entomologia, v. 55, p. 424-434, 2011.",2005-2006,,Lipoptilocnema,crispula,no,Literature
Brasil,MG,Uberlândia,Fazenda Experimenta da Universidade Federal de Uberlândia,-18.95,-48.2,Lipoptilocnema crispula,,,,"BARBOSA, Taciano Moura et al. Diversity of sarcosaprophagous Calyptratae (Diptera) on sandy beaches exposed to increasing levels of urbanization in Brazil. Environmental entomology, v. 46, n. 3, p. 460-469, 2017.",ii-ix.2010,,Lipoptilocnema,crispula,no,Literature
Brasil,MT,Chapada dos Guimarães,Vale da Benção,-15.12326,-55.54634,Lipoptilocnema crispula,,,,"BARBOSA, Taciano Moura et al. Diversity of sarcosaprophagous Calyptratae (Diptera) on sandy beaches exposed to increasing levels of urbanization in Brazil. Environmental entomology, v. 46, n. 3, p. 460-469, 2017.",18-21.i.2012,,Lipoptilocnema,crispula,no,Literature
Brasil,CE,Pacatuba,,-3.95253,-38.59584,Lipoptilocnema crispula,,,,,22.vii-24.vii.1973,,Lipoptilocnema,crispula,no,Literature
Brasil,PA,Viseu,Fazenda Ema,-52.3582222,-1.4204167,Oxysarcodexia amorosa,,,,"BARBOSA, Taciano Moura et al. Diversity of sarcosaprophagous Calyptratae (Diptera) on sandy beaches exposed to increasing levels of urbanization in Brazil. Environmental entomology, v. 46, n. 3, p. 460-469, 2017.",13/06/2000,,Oxysarcodexia,amorosa,no,GOELDI
Brasil,RJ,Angra dos Reis,,-22.98678,-44.35299,Oxysarcodexia amorosa,,,,"BARBOSA, Taciano Moura et al. Diversity of sarcosaprophagous Calyptratae (Diptera) on sandy beaches exposed to increasing levels of urbanization in Brazil. Environmental entomology, v. 46, n. 3, p. 460-469, 2017.",4.vii.1971," on sea beach, with dead fishes and crabs or human excrement; near a secondary forest, using human feces and rotten coccus comosa as bait",Oxysarcodexia,amorosa,no,MZUSP
Brasil,RJ,Rio de Janeiro,Grajaú,-22.92322,-43.45093,Oxysarcodexia amorosa,,,,,,Cultura 251,Oxysarcodexia,amorosa,no,MZUSP
Brasil,RJ,Rio de Janeiro,,-22.85167,-43.24083,Oxysarcodexia amorosa,,,,,25.i.2006-30.i.2008,,Oxysarcodexia,amorosa,no,Literature
Brasil,RJ,Paracambi,Floresta,-22.6219,-43.72558,Oxysarcodexia amorosa,,"verificado por Gomes, M.M.",Kepler N. Andrade Herrera,,04.x.2001,peixe,Oxysarcodexia,amorosa,no,MNRJ
Brasil,RJ,Rio das Ostras,Área de Relevante Interesse Ecológico de Itapebussus,-22.48548,-41.88252,Oxysarcodexia amorosa,Van Someren Rydon,,,"SOUSA, J. R. P.; ESPOSITO, M. C.; CARVALHO FILHO, F. da S. Composition, abundance and richness of Sarcophagidae (Diptera: Oestroidea) in forests and forest gaps with different vegetation cover. Neotropical entomology, v. 40, n. 1, p. 20-27, 2011.",29-01.vi.2016,"Material perdido no incêndio e recuperado em planilha; publicado na ref GOMES, Marina Morim; DE MELLO-PATIU, Cátia Antunes. Diversity of flesh flies (Diptera: Sarcophagidae) in an Atlantic forest fragment in Rio das Ostras, RJ, Southeastern Brazil. EntomoBrasilis, v. 14, p. e940-e940, 2021.",Oxysarcodexia,amorosa,no,MNRJ
Brasil,RJ,Rio das Ostras,Área de Relevante Interesse Ecológico de Itapebussus,-22.48488,-41.88252,Oxysarcodexia amorosa,Van Someren Rydon,,,"LOPES, H. de S. Sarcophagid flies Diptera from Pacatuba, State of Ceará, Brazil. Revista Brasileira de Biologia, 1974.",29-01.vi.2016,"Material perdido no incêndio e recuperado em planilha; publicado na ref GOMES, Marina Morim; DE MELLO-PATIU, Cátia Antunes. Diversity of flesh flies (Diptera: Sarcophagidae) in an Atlantic forest fragment in Rio das Ostras, RJ, Southeastern Brazil. EntomoBrasilis, v. 14, p. e940-e940, 2021.",Oxysarcodexia,amorosa,no,MNRJ
Brasil,RJ,Rio das Ostras,Área de Relevante Interesse Ecológico de Itapebussus,-22.4846,-41.88252,Oxysarcodexia amorosa,Van Someren Rydon,H.S. Lopes,Berla,,29-01.vi.2016,"Material perdido no incêndio e recuperado em planilha; publicado na ref GOMES, Marina Morim; DE MELLO-PATIU, Cátia Antunes. Diversity of flesh flies (Diptera: Sarcophagidae) in an Atlantic forest fragment in Rio das Ostras, RJ, Southeastern Brazil. EntomoBrasilis, v. 14, p. e940-e940, 2021.",Oxysarcodexia,amorosa,no,MNRJ
Brasil,RJ,Rio das Ostras,Área de Relevante Interesse Ecológico de Itapebussus,-22.4813,-41.88252,Oxysarcodexia amorosa,Van Someren Rydon,,,"PEREIRA DE SOUSA, Jose Roberto et al. Evaluating the effects of different vegetation types on necrophagous fly communities (Diptera: Calliphoridae; Sarcophagidae): implications for conservation. PLoS One, v. 11, n. 10, p. e0164826, 2016.",29-01.vi.2016,"Material perdido no incêndio e recuperado em planilha; publicado na ref GOMES, Marina Morim; DE MELLO-PATIU, Cátia Antunes. Diversity of flesh flies (Diptera: Sarcophagidae) in an Atlantic forest fragment in Rio das Ostras, RJ, Southeastern Brazil. EntomoBrasilis, v. 14, p. e940-e940, 2021.",Oxysarcodexia,amorosa,no,MNRJ
Brasil,RJ,Rio das Ostras,Área de Relevante Interesse Ecológico de Itapebussus,-22.4542,-41.94681,Oxysarcodexia amorosa,Van Someren Rydon,,,,19-20/02/2016,Material perdido no incêndio e recuperado em planilha; Restinga,Oxysarcodexia,amorosa,no,MNRJ
Brasil,RJ,Itatiaia,"Parque Nacional do Itaiaia, Trilha Rui Barbosa",-22.43586,-44.62533,Oxysarcodexia amorosa,Van Someren,,,"PEREIRA DE SOUSA, Jose Roberto et al. Evaluating the effects of different vegetation types on necrophagous fly communities (Diptera: Calliphoridae; Sarcophagidae): implications for conservation. PLoS One, v. 11, n. 10, p. e0164826, 2016.",12-18.iii.2017,"1198m, camarão",Oxysarcodexia,amorosa,no,MNRJ
Brasil,RJ,Itatiaia,"Parque Nacional do Itaiaia, Trilha Rui Barbosa",-22.43158,-44.62258,Oxysarcodexia amorosa,Van Someren,,,"PEREIRA DE SOUSA, Jose Roberto et al. Evaluating the effects of different vegetation types on necrophagous fly communities (Diptera: Calliphoridae; Sarcophagidae): implications for conservation. PLoS One, v. 11, n. 10, p. e0164826, 2016.",12-18.iii.2017,"1150, peixe",Oxysarcodexia,amorosa,no,MNRJ
Brasil,MS,Dois Irmãos do Buriti,,-20.61505,-55.36541,Oxysarcodexia amorosa,,,,"PEREIRA DE SOUSA, Jose Roberto et al. Evaluating the effects of different vegetation types on necrophagous fly communities (Diptera: Calliphoridae; Sarcophagidae): implications for conservation. PLoS One, v. 11, n. 10, p. e0164826, 2016.",27-30.xii.89,,Oxysarcodexia,amorosa,no,Literature
Brasil,MS,Campo Grande,Embrapa Gado de Corte,-20.4525,-54.7247,Oxysarcodexia amorosa,,,,"PEREIRA DE SOUSA, Jose Roberto et al. Evaluating the effects of different vegetation types on necrophagous fly communities (Diptera: Calliphoridae; Sarcophagidae): implications for conservation. PLoS One, v. 11, n. 10, p. e0164826, 2016.",2-6.xii.2013,,Oxysarcodexia,amorosa,no,MNRJ
Brasil,ES,Santa Teresa,Estaçao Biológica Santa Lúcia,-19.96967,-40.53639,Oxysarcodexia amorosa,,,,"PEREIRA DE SOUSA, Jose Roberto et al. Evaluating the effects of different vegetation types on necrophagous fly communities (Diptera: Calliphoridae; Sarcophagidae): implications for conservation. PLoS One, v. 11, n. 10, p. e0164826, 2016.",22-25.vii.2007,,Oxysarcodexia,amorosa,no,Literature
Brasil,ES,Itaguaçu,,-19.72844,-40.86457,Oxysarcodexia amorosa,,,,,x.1970,,Oxysarcodexia,amorosa,no,MZUSP
Brasil,ES,Baixo Guandu,,-19.56988,-40.98284,Oxysarcodexia amorosa,,,,,ix.1970,,Oxysarcodexia,amorosa,no,MZUSP
Brasil,ES,Colatina,Itapina,-19.48626,-40.65559,Oxysarcodexia amorosa,,,,,xi.1970,,Oxysarcodexia,amorosa,no,MZUSP
Brasil,ES,Linhares,,-19.39109993,-40.07220078,Oxysarcodexia amorosa,,"verificado por Gomes, M.M.",Kepler N. Andrade Herrera,,09/01/1975,Coleta realizada entre 09-15.i.1975,Oxysarcodexia,amorosa,no,Species Link
Brasil,MG,Uberlândia,,-18.98319,-48.29723,Oxysarcodexia amorosa,,,Rafael Cedro de Souza Sandoval,,2005-2006,,Oxysarcodexia,amorosa,no,Literature
Brasil,PE,Tamandaré,Praia de Tamandaré,-8.7456,-35.22965,Oxysarcodexia amorosa,armadilha,,,"LOPES, H. de S. Contribuição ao conhecimento das espécies do gênero Oxysarcodexia Townsend, 1917 (Diptera, Sarcophagidae). Boletim da Escola Nacional de Veterinária, v. 1, p. 62-134, 1946.",2011-2013,,Oxysarcodexia,amorosa,no,Literature
Brasil,PE,Ipojuca,Praia Serrambi,-8.560002778,-35.01634167,Oxysarcodexia amorosa,armadilha,,,"DE SOUZA, Carina Mara; PAPE, Thomas; THYSSEN, Patricia Jacqueline. Oxysarcodexia Townsend, 1917 (Diptera: Sarcophagidae)—a centennial conspectus. Zootaxa, v. 4841, n. 1, p. 1-126, 2020.",2011-2013,,Oxysarcodexia,amorosa,no,Literature
Brasil,PA,Serra Norte,Canga,-8.135,-49.4569,Oxysarcodexia amorosa,,,,"DE SOUZA, Carina Mara; PAPE, Thomas; THYSSEN, Patricia Jacqueline. Oxysarcodexia Townsend, 1917 (Diptera: Sarcophagidae)—a centennial conspectus. Zootaxa, v. 4841, n. 1, p. 1-126, 2020.",07/06/1983,,Oxysarcodexia,amorosa,no,GOELDI
Brasil,PE,Paulista,Praia Pau Amarelo,-7.92815,-34.88326,Oxysarcodexia amorosa,armadilha,,,"BARBOSA, Rodrigo Rocha et al. New records of calyptrate dipterans (Fanniidae, Muscidae and Sarcophagidae) associated with the decomposition of domestic pigs in Brazil. Memórias do Instituto Oswaldo Cruz, v. 104, n. 6, p. 923-926, 2009.",2011-2013,,Oxysarcodexia,amorosa,no,Literature
Brasil,PE,Goiana,Praia Carne de Vaca,-7.59698,-34.94247,Oxysarcodexia amorosa,armadilha,"verificado por Gomes, M.M.",M.M. Gomes & C.A. Mello-Patiu,,2011-2013,,Oxysarcodexia,amorosa,no,Literature
Brasil,PB,João Pessoa,Mata do Buraquinho,-7.1403,-34.8606,Oxysarcodexia amorosa,,"verificado por Gomes, M.M.",W. Kooler,,29/02/2008,,Oxysarcodexia,amorosa,no,GOELDI
Brasil,PA,São Geraldo do Araguaia,Serra da Andorinha,-6.1933333,-48.5386111,Oxysarcodexia amorosa,,,,"ROSA, Thiago Augusto et al. Arthropods associated with pig carrion in two vegetation profiles of Cerrado in the State of Minas Gerais, Brazil. Revista Brasileira de Entomologia, v. 55, p. 424-434, 2011.",01/12/2001,,Oxysarcodexia,amorosa,no,GOELDI
Peru,Piura,,"Huancabamba, Quispampa bajo",-5.25431,-79.45072,Oxysarcodexia amorosa,,,,"LOPES, H. de S. Sarcophagid flies Diptera from Pacatuba, State of Ceará, Brazil. Revista Brasileira de Biologia, 1974.",27.vii.2019,"2088msnm; Trampas botella, Higado pollo; 2088msnm; Carcaça de perro",Oxysarcodexia,amorosa,no,MNRJ
Brasil,AM,Coari,Bacia do Rio Urucu,-4.43635,-64.12531,Oxysarcodexia amorosa,,H.S. Lopes,,,iv-x.2007,,Oxysarcodexia,amorosa,no,Literature
Brasil,CE,Pacatuba,,-3.95253,-38.59584,Oxysarcodexia amorosa,,,,,22.vii-24.vii.1973,,Oxysarcodexia,amorosa,no,Literature
Brasil,MA,Rosário,Igarapé Paraqueú,-2.94557,-44.20211,Oxysarcodexia amorosa,,,,"CARVALHO-FILHO, Fernando Da Silva et al. Flesh flies (Diptera: Sarcophagidae) from a white-sand habitat in the Brazilian Amazon, with the description of four new species. Zootaxa, v. 4504, n. 3, p. 401-417, 2018.",20-22.xi.1970,,Oxysarcodexia,amorosa,no,MZUSP
Brasil,MA,Cajapió,,-2.8188,-44.74201,Oxysarcodexia amorosa,,,,,2010-2012,,Oxysarcodexia,amorosa,no,Literature
Brasil,PA,Acará,Ilha do Combú,-2.03545,-48.41153,Oxysarcodexia amorosa,,,,,16/05/1992,,Oxysarcodexia,amorosa,no,GOELDI
Brasil,MA,Cedral,,-2.00561,-44.57228,Oxysarcodexia amorosa,,,,"DE SOUZA, Carina Mara; PAPE, Thomas; THYSSEN, Patricia Jacqueline. Oxysarcodexia Townsend, 1917 (Diptera: Sarcophagidae)—a centennial conspectus. Zootaxa, v. 4841, n. 1, p. 1-126, 2020.",2010-2012,,Oxysarcodexia,amorosa,no,Literature
Brasil,MA,Cedral,,-1.98716,-44.49478,Oxysarcodexia amorosa,,,,"PEREIRA DE SOUSA, Jose Roberto et al. Evaluating the effects of different vegetation types on necrophagous fly communities (Diptera: Calliphoridae; Sarcophagidae): implications for conservation.Â PLoS One, v. 11, n. 10, p. e0164826, 2016.",2010-2012,,Oxysarcodexia,amorosa,no,Literature
Brasil,MA,Cedral,,-1.96231,-44.51156,Oxysarcodexia amorosa,,,,"PEREIRA DE SOUSA, Jose Roberto et al. Evaluating the effects of different vegetation types on necrophagous fly communities (Diptera: Calliphoridae; Sarcophagidae): implications for conservation.Â PLoS One, v. 11, n. 10, p. e0164826, 2016.",2010-2012,,Oxysarcodexia,amorosa,no,Literature
Brasil,MA,Cândido Mendes,,-1.49185,-45.54432,Oxysarcodexia amorosa,,,,"PEREIRA DE SOUSA, Jose Roberto et al. Evaluating the effects of different vegetation types on necrophagous fly communities (Diptera: Calliphoridae; Sarcophagidae): implications for conservation.Â PLoS One, v. 11, n. 10, p. e0164826, 2016.",2010-2012,,Oxysarcodexia,amorosa,no,Literature
Brasil,MA,Cândido Mendes,,-1.43178,-45.51253,Oxysarcodexia amorosa,,,,"PEREIRA DE SOUSA, Jose Roberto et al. Evaluating the effects of different vegetation types on necrophagous fly communities (Diptera: Calliphoridae; Sarcophagidae): implications for conservation.Â PLoS One, v. 11, n. 10, p. e0164826, 2016.",2010-2012,,Oxysarcodexia,amorosa,no,Literature
Brasil,PA,Belém,Belém,-1.24072,-48.45991,Oxysarcodexia amorosa,,,,,05/10/1965,,Oxysarcodexia,amorosa,no,GOELDI
Brasil,PA,Bragança,Bragança,-1.19753,-46.76522,Oxysarcodexia amorosa,,,,,14/08/2008,,Oxysarcodexia,amorosa,no,GOELDI
Brasil,PA,Bragança,Tracuateua,-1.0833,-46.9,Oxysarcodexia amorosa,,,,,02/11/1990,,Oxysarcodexia,amorosa,no,GOELDI
México,Yucatán,,"Mérida, Campus CCBA",20.86056,-89.62417,Oxysarcodexia amorosa,Rede Entomológica,"verificado por Gomes, M.M.",Kepler N. Andrade Herrera,,13.iii.2019,"10 msnm, Carcaça de boa, tarde; 10 msnm, Carcaça de boa, manhã; 10 msnm, Carcaça de cerdo 3, tarde; 10 msnm, Carcaça de cerdo 2, tarde; 10 msnm, Trampas botella, Higado pollo",Oxysarcodexia,amorosa,no,MNRJ
Brasil,SP,Peruíbe,área pública,-24.31999969,-46.99000168,Oxysarcodexia xanthosoma,,,Rafael Cedro de Souza Sandoval,,20/05/2013,material testemunho (voucher molecular) - tórax retirado para análise molecular,Oxysarcodexia,xanthosoma,no,Species Link
Brasil,RJ,Angra dos Reis,,-22.98678,-44.35299,Oxysarcodexia xanthosoma,,,,"LOPES, H. de S. ContribuiÃ§Ã£o ao conhecimento das espÃ©cies do gÃªnero Oxysarcodexia Townsend, 1917 (Diptera, Sarcophagidae).Â Boletim da Escola Nacional de VeterinÃ¡ria, v. 1, p. 62-134, 1946.",x.1936,"NA; near a secondary forest, using human feces and rotten coccus comosa as bait",Oxysarcodexia,xanthosoma,no,Literature
Brasil,RJ,Rio de Janeiro,Grajaú,-22.92322,-43.45093,Oxysarcodexia xanthosoma,,,,"DE SOUZA, Carina Mara; PAPE, Thomas; THYSSEN, Patricia Jacqueline. Oxysarcodexia Townsend, 1917 (Diptera: Sarcophagidae)â€”a centennial conspectus.Â Zootaxa, v. 4841, n. 1, p. 1-126, 2020.",18.v.1947,,Oxysarcodexia,xanthosoma,no,Literature
Brasil,SP,Campinas,,-22.88376,-47.0438,Oxysarcodexia xanthosoma,,,,"DE SOUZA, Carina Mara; PAPE, Thomas; THYSSEN, Patricia Jacqueline. Oxysarcodexia Townsend, 1917 (Diptera: Sarcophagidae)â€”a centennial conspectus.Â Zootaxa, v. 4841, n. 1, p. 1-126, 2020.",vii.2012,,Oxysarcodexia,xanthosoma,no,Literature
Brasil,RJ,Rio de Janeiro,,-22.85167,-43.24083,Oxysarcodexia xanthosoma,,,,"BARBOSA, Rodrigo Rocha et al. New records of calyptrate dipterans (Fanniidae, Muscidae and Sarcophagidae) associated with the decomposition of domestic pigs in Brazil.Â MemÃ³rias do Instituto Oswaldo Cruz, v. 104, n. 6, p. 923-926, 2009.",25.i.2006-30.i.2008,,Oxysarcodexia,xanthosoma,no,Literature
Brasil,RJ,Rio das Ostras,Área de Relevante Interesse Ecológico de Itapebussus,-22.48548,-41.88252,Oxysarcodexia xanthosoma,Van Someren Rydon,"verificado por Gomes, M.M.",M.M. Gomes & C.A. Mello-Patiu,,29-01.vi.2016,"Material perdido no incêndio e recuperado em planilha; publicado na ref GOMES, Marina Morim; DE MELLO-PATIU, Cátia Antunes. Diversity of flesh flies (Diptera: Sarcophagidae) in an Atlantic forest fragment in Rio das Ostras, RJ, Southeastern Brazil. EntomoBrasilis, v. 14, p. e940-e940, 2021.",Oxysarcodexia,xantosoma,yes,MNRJ
Brasil,MS,Campo Grande,Embrapa Gado de Corte,-20.4525,-54.7247,Oxysarcodexia xanthosoma,,"verificado por Gomes, M.M.",W. Kooler,,4-8.xi.2013,,Oxysarcodexia,xanthosoma,no,MNRJ
Brasil,MG,Uberlândia,,-18.98319,-48.29723,Oxysarcodexia xanthosoma,,,,"ROSA, Thiago Augusto et al. Arthropods associated with pig carrion in two vegetation profiles of Cerrado in the State of Minas Gerais, Brazil.Â Revista Brasileira de Entomologia, v. 55, p. 424-434, 2011.",2005-2006,,Oxysarcodexia,xanthosoma,no,Literature
Brasil,CE,Pacatuba,,-3.95253,-38.59584,Oxysarcodexia xanthosoma,,,,"LOPES, H. de S. Sarcophagid flies Diptera from Pacatuba, State of CearÃ¡, Brazil.Â Revista Brasileira de Biologia, 1974.",22.vii-24.vii.1973,,Oxysarcodexia,xanthosoma,no,Literature
Brasil,PA,Santarém,Fazenda Taperinha,-2.4333,-54.7333,Oxysarcodexia xanthosoma,,H.S. Lopes,,,x-xi.1970,Exp.Perm.Amaz.,Oxysarcodexia,xanthosoma,no,MZUSP
Brasil,PA,Cametá,BR - 422 Km11 Sul,-2.2533333,-49.6033333,Oxysarcodexia xanthosoma,,,,,07/04/2015,,Oxysarcodexia,xanthosoma,no,GOELDI
Brasil,PA,Cametá,Campo Redondo,-2.25333,-49.60333,Oxysarcodexia xanthosoma,,,,"CARVALHO-FILHO, Fernando Da Silva et al. Flesh flies (Diptera: Sarcophagidae) from a white-sand habitat in the Brazilian Amazon, with the description of four new species.Â Zootaxa, v. 4504, n. 3, p. 401-417, 2018.",2015,,Oxysarcodexia,xanthosoma,no,Literature
Brasil,PA,Vigia de Nazaré,Vila de Itapuá,-0.88818,-48.13799,Oxysarcodexia xanthosoma,,,,,18/02/2016,,Oxysarcodexia,xanthosoma,no,GOELDI
Brasil,PA,Magalhães Barata,Vila de Calafate,-0.80942,-47.63515,Oxysarcodexia xanthosoma,,,,,16/12/2015,,Oxysarcodexia,xanthosoma,no,GOELDI
Equador,Napo,,"Yasuní National Park, Yasuní Research Station",-0.63333,-76.6,Oxysarcodexia xanthosoma,,,,"DE SOUZA, Carina Mara; PAPE, Thomas; THYSSEN, Patricia Jacqueline. Oxysarcodexia Townsend, 1917 (Diptera: Sarcophagidae)â€”a centennial conspectus.Â Zootaxa, v. 4841, n. 1, p. 1-126, 2020.",3-20.xi.1998,,Oxysarcodexia,xanthosoma,no,Literature
